PropertyPath;ElementID;ElementName;ElementAdmin;AssociateElementID;CategoryID;Unit;LowerLimit;UpperLimit;ReadMaskingLevel;WriteMaskingLevel;Description;VID
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].EachPinToleranceX;20010334;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].EachPinToleranceY;20010335;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].EachPinToleranceZ;20010333;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].MinMaxZDiffLimit;20005757;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].PinCount;20008534;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].SamplePinAlignmentPinCount;20009357;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].SamplePinToleranceX;20008796;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;1;10;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].SamplePinToleranceY;20008793;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;1;10;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].SamplePinToleranceZ;20008791;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;1;10;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinAlignSettignParameter[9].SourceName;20009412;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinFocusingRange;698;Focusing Range;UNKNOWN;;10021001;micron;0;0;0;0;PinFocusingRange;0
PinAligner.PinAlignDevParameters.PinHeight;699;Pin Height;Tony;;;;0;0;0;0;;0
PinAligner.PinAlignDevParameters.PinHighAlignBaseFocusingParam.BaseFocsuingEnable;20005661;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinHighAlignBaseFocusingParam.DoFirstPin;20006397;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinHighAlignBaseFocusingParam.FocusingTolerance;20006633;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinHighAlignParam.HighAlignKeyParameter.KeyBlobExtension;20003087;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinHighAlignParam.HighAlignKeyParameter.KeyBlobExtensionHeight;20003089;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinHighAlignParam.HighAlignKeyParameter.KeyBlobExtensionWidth;20003088;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
PinAligner.PinAlignDevParameters.PinHighAlignParam.HighAlignKeyParameter.KeyBlobSizeXMaximumMargin;20003091;EMPTY;EMPTY;EMPTY;EMPTY;EMPTY;0;0;100;100;EMPTY;0
